Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Energy Capacity,Owner,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Refugee Cloak,4195519897,"""6917529052826884861""",archive,Common,Hunter Cloak,campaign,Hunter,1600,,,Vault,true,false,1,1,,1,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,,,,,,,,,
Vigil of Heroes,3569624585,"""6917529084387073890""",archive,Legendary,Chest Armor,strikes,Warlock,1600,1060,,Vault,true,false,2,4,,0,10,30,5,5,10,60,0,10,20,5,5,10,50,,high recovery,Restorative Warlock Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Unflinching Fusion Rifle Aim,Unflinching Light Arms Aim*,Submachine Gun Reserves,Special Ammo Finder*,Recovery Mod*,Masterwork*,Crucible Redjack*,
Inaugural Revelry Hood,3738044006,"""6917529092397936726""",archive,Legendary,Helmet,events,Warlock,1600,1060,,Vault,true,false,2,6,The Revelry,10,0,20,5,5,10,50,0,0,20,5,5,10,40,,revelry,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Bow Targeting,Pump Action*,Shotgun Reserves,Special Ammo Finder*,Ordnance Mod*,Tier 2 Armor*,Kairos Bronze*,Reveler's Antlers*
Vernal Growth Robes,2967148056,"""6917529092645802700""",archive,Legendary,Chest Armor,eververse,Warlock,1600,1060,,Vault,true,false,2,6,The Revelry,0,10,30,5,5,10,60,0,10,20,5,5,10,50,,revelry,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Unflinching Power Aim*,Unflinching Sniper Aim,Auto Rifle Reserves,Special Ammo Finder*,Mobility Mod*,Masterwork*,Imperial Opulence*,
Skull of Dire Ahamkara,1030017949,"""6917529113709157086""",archive,Exotic,Helmet,,Warlock,1600,,10,Vault,true,false,1,1,,4,11,22,19,4,10,70,2,9,20,17,2,8,58,,"#void, #pve",Actual Grandeur*,Byzantium Lotus*,The Want of Lies and Wishes*,,,,,,,,
War Mantis,803939997,"""6917529142491077973""",,Rare,Gauntlets,campaign,Hunter,1600,,10,Vault,true,false,2,4,,14,6,35,2,2,2,61,12,4,33,0,0,0,49,,hgih mobility + high recovery,Mercurian Sunrise*,,,,,,,,,,
Ophidian Aspect,3627185503,"""6917529156076730868""",,Exotic,Gauntlets,,Warlock,1810,,10,Warlock(1833),true,false,1,2,,5,16,16,26,14,4,81,3,14,14,14,12,2,59, - PvP Ophidian Aspects - ,"#neutral, #pvp",Cobra Totemic*,Discipline Mod*,Fastball*,Bolstering Detonation*,Stasis Dexterity*,Crucible Redjack*,Coaxial Bonds*,,,,
Cloak of the Great Hunt,1646520469,"""6917529159155807465""",,Legendary,Hunter Cloak,lastwish,Hunter,1810,,10,Hunter(1831),true,false,3,11,,2,2,2,2,2,2,12,0,0,0,0,0,0,0,,#raid,Photo Finish*,Psionic Stalker Cloak*,,,,,,,,,
Cloak of Temptation,3549177695,"""6917529160878380018""",,Legendary,Hunter Cloak,gardenofsalvation,Hunter,1810,,10,Hunter(1831),true,false,3,11,,2,12,2,2,2,2,22,0,0,0,0,0,0,0,,#raid,Resilience Mod*,Special Finisher*,Powerful Attraction*,Reaper*,Cerulean Divide*,,,,,,
Astrocyte Verse,3948284065,"""6917529163640395415""",,Exotic,Helmet,,Warlock,1810,,10,Vault,true,false,2,7,,9,8,18,23,10,4,72,7,6,16,21,8,2,60, - PvP Astrocyte - ,"#void, #pvp",Move to Survive*,Calus's Treasured*,,,,,,,,,
